date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Jul%202025%2004:47:43%20GMT	https://www.synctech.com.au/sms-backup-restore	/home/alan/websites/synctech/www.synctech.com.au/sms-backup-restore.0.delayed	(from )
21:47:46	79653/79653	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Jul%202025%2004:47:45%20GMT	https://www.synctech.com.au/sms-backup-restore/	/home/alan/websites/synctech/www.synctech.com.au/sms-backup-restore/index.html	(from )
21:47:46	116/116	---MCZ	200	added ('OK')	text/plain	date:Wed,%2023%20Jul%202025%2004:47:45%20GMT	https://www.synctech.com.au/robots.txt		(from )
21:47:47	294/294	---MCZ	200	added ('OK')	text/css	etag:W/%22677b9b3a-126%22	https://www.synctech.com.au/wp-content/plugins/easy-digital-downloads-pro/includes/blocks/assets/css/edd-blocks.css?ver=3.3.5.2	/home/alan/websites/synctech/www.synctech.com.au/wp-content/plugins/easy-digital-downloads-pro/includes/blocks/assets/css/edd-blocksb022.css	(from https://www.synctech.com.au/sms-backup-restore/)
21:47:48	2947/2947	---MCZ	200	added ('OK')	text/css	etag:W/%22685d619d-b83%22	https://www.synctech.com.au/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1	/home/alan/websites/synctech/www.synctech.com.au/wp-content/plugins/contact-form-7/includes/css/styles9b2d.css	(from https://www.synctech.com.au/sms-backup-restore/)
21:47:49	5064/5064	---MCZ	200	added ('OK')	text/css	etag:W/%226867edc0-13c8%22	https://www.synctech.com.au/wp-content/plugins/cookie-notice/css/front.min.css?ver=2.5.7	/home/alan/websites/synctech/www.synctech.com.au/wp-content/plugins/cookie-notice/css/front.min355d.css	(from https://www.synctech.com.au/sms-backup-restore/)
21:47:49	99/99	---M--	200	added ('OK')	text/css	etag:%22630aad34-63%22	https://www.synctech.com.au/wp-content/plugins/hide-admin-bar-based-on-user-roles/public/css/hide-admin-bar-based-on-user-roles-public.css?ver=3.2.0	/home/alan/websites/synctech/www.synctech.com.au/wp-content/plugins/hide-admin-bar-based-on-user-roles/public/css/hide-admin-bar-based-on-user-roles-public55a0.css	(from https://www.synctech.com.au/sms-backup-restore/)
21:47:50	678/678	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224b8074281674c04868fd25b00e9cfde4%22	https://www.synctech.com.au/comments/feed/	/home/alan/websites/synctech/www.synctech.com.au/comments/feed/index.html	(from https://www.synctech.com.au/sms-backup-restore/)
21:47:50	1091/1091	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224b8074281674c04868fd25b00e9cfde4%22	https://www.synctech.com.au/feed/	/home/alan/websites/synctech/www.synctech.com.au/feed/index.html	(from https://www.synctech.com.au/sms-backup-restore/)
21:47:51	1251/1251	---MCZ	200	added ('OK')	text/css	etag:W/%226703612c-4e3%22	https://www.synctech.com.au/wp-content/plugins/page-list/css/page-list.css?ver=5.7	/home/alan/websites/synctech/www.synctech.com.au/wp-content/plugins/page-list/css/page-liste23c.css	(from https://www.synctech.com.au/sms-backup-restore/)
